0,ブボボ（｀；ω；´）ﾓﾜｯ,null,4,null,-1
1,桜島ペプシ華麗に大噴火！アズキには負けない。,null,4,null,-1
2,ふぅ．．．,null,4,null,-1
3,鹿屋まで飛んでいけぇー,null,4,null,-1
4,あっ、やっ、だめ！でちゃうう！（灰が）,null,4,null,-1
5,／^o^＼ﾌｯｼﾞｻｰﾝ,null,4,null,-1
6,この灰三人用なんだ,null,3,null,-1
7,怒りだ!もう怒りしかない!!(CV 小山力也),null,4,null,-1
8,ぼるけいのうwwwwwwぼるけいのうwwwwww,null,4,null,-1
9,僕が噴火することで開門岳さんが噴火せずにすむ それだけで僕は幸せなんです,null,4,null,-1
10,（ﾊﾞﾚﾃﾅｲ ﾊﾞﾚﾃﾅｲ）,null,4,null,-1
11,さくらじまっ，さくらじまっにしてやんよ～♪,null,4,null,-1
12,噴火は俺にまかせろ バリバリ,null,4,null,-1
13,見ちゃらめぇぇぇぇぇぇぇぇぇぇ,null,4,null,-1
14,結婚するなら鹿児島がいいらしいよ http://bit.ly/1fQYX,null,4,null,-1
15,えっちなのはいけないとおもいます,null,3,null,-1
16,べっ///別にあんたのために噴火した訳じゃないんだからね！,null,4,null,-1
17,生涯現役だもんで,null,4,null,-1
18,今のはメラゾーマではない．メラだ！,null,3,null,-1
19,おまんさあが、いしれんこというで、ほら、へをしたがも。,null,4,null,-1
20,マントルの中あったかいナリ,null,4,null,-1
21,これでまたプールの屋根を取り付ける工事が始まるな,null,3,null,-1
22,どかんと一発！噴火しよーうよー,null,3,null,-1
23,開聞岳さんのマグマが入ってくるよぅ,null,3,null,-1
24,ついったん かわいいよ ついったん,null,4,null,-1
25,私に還りなさい〜,null,4,null,-1
26,そろそろ薩摩半島とも繋がろうかと思う．,null,4,null,-1
27,キラッ☆,null,4,null,-1
28,やべぇ ちょっと実が出た,null,4,null,-1
29,克灰袋作ってるとこからのリベートおいしいです＾q＾,null,4,null,-1
30,闇の力を秘めし鍵よ 真の力を我の前に示せ 契約のもと 桜島が命じる レリーズ！！,null,4,null,-1
31,俺の身長は716hydeな．,null,3,null,-1
32,俺はまだ本気出してない,null,4,null,-1
33,洗濯物を屋外で干そうなどという考えが甘いのだ,null,4,null,-1
34,ぽんぽん痛い,null,3,null,-1
35,あぁ…目が…目がぁぁ!!,null,4,null,-1
36,ぼるけいのうwwwwwwぼるけいのうwwwwww,null,4,null,-1
37,あんたなんて火山灰に埋もれて死んじゃえばいいのよ！,null,3,null,-1
38,灰、灰、灰、お山さんだよ〜,null,3,null,-1
39,噴火しない火山は，ただの山だ,null,3,null,-1
40,我こそ「地球のへそ」なり,null,3,null,-1
41,いい加減、起きなさいよね！なんでいつも私が起こさなきゃいけないのよ！,null,3,null,-1
42,降灰は俺に任せろー,null,4,null,-1
43,こういうとき，どんな顔をすればいいのかわからないの,null,3,null,-1
44,桜島にも穴はあるのよ,null,4,null,-1
45,はにゃ〜ん,null,4,null,-1
46,桜島の学生はヘルメットかぶってるんだけど，あれはあれでそそるものがあるよね,null,4,null,-1
47,ほえ？,null,3,null,-1
48,阿蘇山とは仲が悪かった気がするんですが，なんででしたっけ？,null,4,null,-1
49,今日の運勢は凶 待ち人は来ないでしょう,null,4,null,-1
50,なん…だと…,null,4,null,-1
51,2万年と5千年前から噴火する～♪ 1万1千年過ぎた頃からもっと激しくなった～,null,3,null,-1
52,俺の灰は黄砂のそれとは違う。,null,4,null,-1
53,火山灰は萌えるゴミ,null,4,null,-1
54,今日の運勢は大吉 お気に入りのジュースが10円引きで買えます,null,4,null,-1
55,無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄！,null,4,null,-1
56,噴いたら負けかなと思ってる,null,4,null,-1
57,今日の運勢は小吉 灰がいつもより少ないです,null,3,null,-1
58,あまり強い言葉を遣うなよ 弱く見えるぞ,null,4,null,-1
59,見ろ，灰がゴミのようだ！,null,4,null,-1
60,闇の力を秘めし鍵よ。 真の姿を我の前に示せ。 契約のもと @vl_sakurajima が命じる。 レリーズ!！,null,4,null,-1
61,えー、ほら俺アニメ化とか そういうのと違うからー,null,3,null,-1
62,昭和火口のバカ！もう知らない！,null,4,null,-1
63,おまえに火山がすくえるか,null,3,null,-1
64,SOS! SOS! ほらほら呼んでいるわ 今日もまた誰か〜 火山のピンチ♪,null,3,null,-1
65,噴火してやがる早すぎたんだ！,null,3,null,-1
66,ありさねの妹なら俺の横で寝てるよ,null,3,null,-1
67,へがふっで，はよせったんもんをいれんね,null,4,null,-1
68,熱い方が勝つわ,null,4,null,-1
69,し、仕方なく噴火してあげただけなんだからね！！か、勘違いしないでよ！！,null,4,null,-1
70,好きです・・・・・・・・・・・・・かすたどん,null,4,null,-1
71,ホントだもん。萌えたんいたんだもん。うそじゃないもん,null,3,null,-1
72,見せてもらおうか キラウェア火山の実力を！,null,4,null,-1
73,いい加減、目覚まし時計で起きなさいよね！なんでいつも私が噴火で起こさなきゃいけないのよ！,null,3,null,-1
74,落ち込むこともあるけど、わたしは元気です,null,4,null,-1
75,す、好きで噴火してるわけじゃないんだからね…あんたの前だけよ…もう…バカ…,null,4,null,-1
76,焼き払え！,null,4,null,-1
77,昭和火口のメンテナンスも万全です,null,4,null,-1
78,くぎゅうううううううう！,null,4,null,-1
79,40秒で避難しな,null,4,null,-1
80,トランザムっ！(`･ω･´),null,4,null,-1
81,別にキミのためにやってあげたわけじゃないんだよ。・・・って、え？え？嘘！アタシ今顔紅い！？,null,4,null,-1
82,私の身長偏差値は1740.32です,null,3,null,-1
83,う、うううるさいわね！黙って灰浴びてなさいよっ！,null,3,null,-1
84,っ！？ななな何すんのよ！湯之平展望所からこっそり見てるなんて！この変態っ！ド変態！,null,4,null,-1
85,アンタだったら・・・。登山・・・・されていいかも・・。,null,3,null,-1
86,夢だけど、夢じゃなかった！,null,4,null,-1
87,かわいいなんて言われたって、うっ、うれしくなんかないわよっ！,null,4,null,-1
88,あきらめたらそこで噴火終了だよ,null,3,null,-1
89,あんたなんて砂防ダムに埋まってればいいのよ！！！,null,4,null,-1
90,あいぽん欲しいなあ,null,4,null,-1
91,今日まいんちゃんある？,null,3,null,-1
92,おまえらは知らないかもしれないけど新燃岳とはマントルの中でいちゃいちゃしてる,null,3,null,-1
93,ガイヤが俺にもっと噴火しろと囁いている,null,3,null,-1
94,ぐるぐるぐるぐるどっかぁーーん!,null,3,null,-1
